lp,doc_id,title,date,grosse_anfrage,kleine_anfrage,cap_topic,cap_subtopic
8,08/84,"Ausschliessliche Gesetzgebungskompetenz des Bundes ueber die Zusammenarbeit des Bundes und der Laender zum Schutze der freiheitlichen demokratischen Grundordnung, des Bestandes und der Sicherheit des Bundes oder eines Landes (Verfassungsschutz)",1977-02-03,0,1,20,2001
8,08/85,Zurruhesetzung politischer Beamter aus dem Bereich der Nachrichtendienste,1977-02-03,0,1,20,2004
8,08/92,Auswirkungen der geplanten Abschmelzung der Ruecklagen der Rentenversicherungstraeger auf den Kapitalmarkt,1977-02-04,0,1,13,1303
8,08/93,Einmalige Zahlungen an die DDR ausserhalb laufender vertraglicher Verpflichtungen,1977-02-04,0,1,25,2501
8,08/95,Investive Ausgaben des Bundes,1977-02-08,0,1,1,105
8,08/104,"Naturschutz, hier: Errichtung eines Nationalparks ""Lueneburger Heide""",1977-02-09,0,1,21,2101
8,08/107,Zonenrandfoerderung in der 8. Wahlperiode des Deutschen Bundestages,1977-02-09,0,1,1,108
8,08/112,Umfang und Folgen der Gesetze und Rechtsverordnungen des Bundes fuer Staat und Buerger,1977-02-10,0,1,20,2000
8,08/118,Deutschlandpolitik,1977-02-16,1,0,25,2500
8,08/155,Bundesbeteiligung in Berlin,1977-03-03,0,1,20,2014
8,08/156,Energiebedarf und friedliche Nutzung der Kernenergie,1977-03-04,1,0,8,800
8,08/188,Energiepolitik,1977-03-16,1,0,8,800
8,08/190,Steuerliche Behandlung unterhaltspflichtiger Vaeter und Muetter,1977-03-16,0,1,12,1208
8,08/191,Bundesdatenschutzgesetz (BDSG),1977-03-16,0,1,2,208
8,08/192,aenderung der Rechtsprechung des Grossen Senats des Bundessozialgerichts in Rentenfragen,1977-03-16,0,1,13,1303
8,08/193,Sauberhaltung der Rheinufer,1977-03-16,0,1,7,710
8,08/195,Verteidigungspolitik,1977-03-17,1,0,16,1602
8,08/196,Fragen nach Personalstand und Personalbesoldung an Bundeswehrdienststellen,1977-03-17,0,1,16,1699
8,08/204,ueberpruefung der Raumordnungspolitik,1977-03-18,0,1,14,1400
8,08/207,Hochschulzugangsverfahren,1977-03-21,0,1,6,601
8,08/208,Bundesfoerderung des deutschen Films,1977-03-21,0,1,6,609
8,08/224,Sicherheitspolitik,1977-03-23,1,0,16,1600
8,08/225,Durchfuehrung von Rehabilitationsmassnahmen,1977-03-23,0,1,13,1304
8,08/226,"""Heimliche"" Steuererhoehungen",1977-03-23,0,1,1,107
8,08/233,Anwendung der Bewirtschaftungsgrundsaetze des Bundesministers fuer Forschung und Technologie,1977-03-24,0,1,17,1700
8,08/239,Vorschlag einer Richtlinie des Rates zur Angleichung der Rechts- und Verwaltungsvorschriften der Mitgliedstaaten ueber die Haftung fuer fehlerhafte Produkte,1977-03-25,0,1,15,1525
8,08/240,"""Heisenberg-Programm"" zur Foerderung des wissenschaftlichen Nachwuchses in Forschung und Lehre an den Hochschulen",1977-03-29,0,1,6,601
8,08/244,"Lage der Staedte, Gemeinden und Kreise",1977-03-29,1,0,20,2001
8,08/245,Bekaempfung von Geiselnahme und erpresserischem Menschenraub,1977-03-29,0,1,12,1210
8,08/246,Schutz des Gemeinschaftsfriedens,1977-03-29,0,1,12,1211
