lp,bill_id,introduction_date,cap_topic,cap_subtopic
8,C002,1976-11-05,14,1405
8,B001,1976-11-05,2,230
8,C001,1976-11-05,12,1299
8,XB001,1976-11-05,2,230
8,XD001,1976-11-05,1,107
8,XG001,1976-11-05,5,504
8,C069,1976-12-09,14,1401
8,C003,1976-12-09,15,1525
8,D001,1976-12-09,20,2001
8,XE001,1976-12-31,18,1804
8,C004,1977-01-12,12,1210
8,F001,1977-01-21,4,499
8,I001,1977-01-21,3,325
8,J001,1977-01-21,10,1002
8,XG002,1977-01-21,13,1300
8,XJ001,1977-01-21,10,1002
8,C005,1977-01-27,15,1504
8,K013,1977-02-02,14,1406
8,N001,1977-02-03,6,603
8,C006,1977-02-09,12,1200
8,C007,1977-02-10,12,1208
8,G004,1977-02-14,12,1204
8,A001,1977-02-18,19,1929
8,B002,1977-02-18,15,1599
8,C009,1977-02-18,12,1210
8,D003,1977-02-18,1,105
8,F002,1977-02-18,4,403
8,G001,1977-02-18,16,1609
8,G002,1977-02-18,13,1303
8,G003,1977-02-18,3,301
8,K002,1977-02-18,14,1400
8,N002,1977-02-18,6,604
8,XA001,1977-02-18,18,1802
8,XC001,1977-02-18,10,1003
8,XC002,1977-02-18,12,1210
8,XC003,1977-02-18,12,1204
8,XE002,1977-02-18,18,1802
8,XG003,1977-02-18,13,1308
8,XG004,1977-02-18,5,503
8,XG005,1977-02-18,5,503
8,G005,1977-02-23,16,1608
8,C008,1977-02-24,12,1204
8,G006,1977-03-03,16,1608
8,D004,1977-03-03,14,1400
8,D005,1977-03-18,14,1403
8,G007,1977-03-23,5,501
8,D007,1977-03-25,10,1002
8,D006,1977-03-25,1,107
8,E001,1977-03-25,1,105
8,F003,1977-03-25,4,499
8,H001,1977-03-25,16,1608
8,K003,1977-03-25,14,1400
8,XC004,1977-03-25,2,200
8,XE003,1977-03-25,18,1804
8,B003,1977-03-30,20,2004
8,XF001,1977-03-30,4,401
8,B005,1977-04-01,20,2012
8,B006,1977-04-01,20,2004
8,XA002,1977-04-01,20,2012
8,B004,1977-04-04,20,2004
8,B007,1977-04-12,20,2004
8,B008,1977-04-14,20,2004
8,C010,1977-04-22,12,1200
8,C011,1977-04-22,15,1525
8,C012,1977-04-22,12,1210
8,XD023,1977-04-22,19,1906
8,C014,1977-04-26,12,1204
8,C013,1977-04-26,12,1227
8,I002,1977-05-02,3,331
8,B009,1977-05-18,20,2004
8,I022,1977-05-25,13,1303
8,C015,1977-06-03,12,1204
8,H002,1977-06-03,16,1608
8,K004,1977-06-03,14,1400
8,XF002,1977-06-03,4,406
8,E002,1977-06-07,8,803
8,D009,1977-06-15,13,1308
8,G009,1977-06-22,5,500
8,E003,1977-06-30,15,1521
8,C070,1977-07-08,10,1002
8,I003,1977-07-08,3,325
8,B010,1977-07-21,16,1608
8,D010,1977-08-11,5,503
8,C016,1977-09-02,15,1502
8,B011,1977-09-02,21,2101
8,C017,1977-09-02,15,1500
8,D011,1977-09-02,20,2001
8,D012,1977-09-02,1,107
8,E004,1977-09-02,21,2103
8,E005,1977-09-02,8,800
8,E006,1977-09-02,18,1806
8,F005,1977-09-02,4,400
8,F006,1977-09-02,4,405
8,G010,1977-09-02,5,505
8,J003,1977-09-02,10,1001
8,XC005,1977-09-02,10,1007
8,XD002,1977-09-02,1,107
8,XD003,1977-09-02,1,107
8,XE004,1977-09-02,18,1802
8,XJ002,1977-09-02,10,1003
8,XJ003,1977-09-02,10,1003
8,C018,1977-09-07,12,1210
8,B012,1977-09-08,12,1209
8,J004,1977-09-08,10,1002
8,D013,1977-09-13,1,107
8,D014,1977-09-15,1,107
8,B013,1977-09-16,20,2004
8,D015,1977-09-16,1,108
8,D016,1977-09-21,20,2001
8,D018,1977-09-22,1,107
8,D017,1977-09-22,13,1308
8,C019,1977-09-23,12,1205
8,B014,1977-09-23,16,1608
8,C071,1977-09-23,2,208
8,E007,1977-09-23,15,1500
8,N003,1977-09-23,6,601
8,XE005,1977-09-23,18,1802
8,XJ004,1977-09-23,10,1003
8,C020,1977-09-28,12,1205
8,XC006,1977-09-29,19,1927
8,D019,1977-09-30,1,105
8,C021,1977-10-05,12,1227
8,B016,1977-10-05,12,1201
8,B020,1977-10-14,1,105
8,I004,1977-10-14,3,321
8,J005,1977-10-14,10,1007
8,XA003,1977-10-14,19,1910
8,XC007,1977-10-14,17,1707
8,XD004,1977-10-14,1,107
8,G011,1977-10-26,2,208
8,G012,1977-10-26,13,1304
8,G013,1977-10-27,2,205
8,C022,1977-10-27,12,1227
8,C023,1977-11-04,12,1204
8,F004,1977-11-04,4,400
8,B017,1977-11-04,16,1608
8,E008,1977-11-04,7,704
8,F007,1977-11-04,4,400
8,XD005,1977-11-04,18,1800
8,J006,1977-11-09,10,1000
8,C068,1977-11-09,16,1603
8,B018,1977-11-11,20,2004
8,B021,1977-11-14,20,2011
8,C057,1977-11-14,20,2011
8,G014,1977-11-24,13,1303
8,K005,1977-11-24,14,1400
8,D021,1977-11-29,8,803
8,G017,1977-12-16,12,1202
8,D022,1977-12-27,1,107
8,G016,1978-01-04,13,1399
8,J007,1978-01-06,7,705
8,D024,1978-01-06,1,105
8,B022,1978-01-06,13,1300
8,B023,1978-01-06,20,2001
8,B024,1978-01-06,20,2001
8,C024,1978-01-06,15,1500
8,C025,1978-01-06,15,1522
8,D023,1978-01-06,1,107
8,D025,1978-01-06,1,107
8,E009,1978-01-06,8,803
8,E010,1978-01-06,1,105
8,G015,1978-01-06,5,500
8,J008,1978-01-06,17,1706
8,XC008,1978-01-06,12,1200
8,XD006,1978-01-06,1,107
8,XD007,1978-01-06,1,107
8,XF003,1978-01-06,4,401
8,XG006,1978-01-06,13,1300
8,B025,1978-01-19,2,230
8,C027,1978-01-27,19,1927
8,G018,1978-01-31,12,1202
8,D026,1978-02-03,1,107
8,E011,1978-02-03,15,1526
8,XA004,1978-02-03,19,1902
8,XB002,1978-02-03,7,710
8,XC009,1978-02-03,20,2015
8,XD008,1978-02-03,1,107
8,XD009,1978-02-03,12,1201
8,XJ005,1978-02-03,10,1002
8,D027,1978-02-08,1,107
8,K006,1978-02-08,8,807
8,B026,1978-02-16,16,1619
8,D029,1978-02-17,1,108
8,B027,1978-02-20,13,1300
8,C028,1978-02-20,12,1204
8,B028,1978-02-24,20,2004
8,D028,1978-02-24,5,503
8,G019,1978-03-09,13,1303
8,G020,1978-03-10,13,1303
8,G021,1978-03-10,13,1300
8,XD010,1978-03-10,1,107
8,XD011,1978-03-10,1,107
8,XE006,1978-03-10,18,1804
8,XJ006,1978-03-10,7,710
8,D030,1978-03-15,1,107
8,C072,1978-03-22,15,1525
8,G022,1978-03-31,13,1300
8,XC010,1978-03-31,12,1210
8,K007,1978-04-12,8,807
8,C029,1978-04-17,12,1204
8,B030,1978-04-18,2,206
8,B029,1978-04-19,2,230
8,D031,1978-04-21,15,1500
8,J009,1978-04-21,10,1000
8,XA005,1978-04-21,19,1913
8,XD012,1978-04-21,1,107
8,E013,1978-04-27,15,1500
8,B031,1978-05-10,16,1619
8,C030,1978-05-12,20,2004
8,C050,1978-05-12,15,1522
8,D032,1978-05-12,1,105
8,E014,1978-05-12,6,609
8,XJ007,1978-05-12,10,1003
8,XJ008,1978-05-12,10,1003
8,C031,1978-05-26,20,2015
8,C033,1978-05-26,15,1525
8,G023,1978-05-26,3,322
8,C032,1978-05-26,20,2015
8,D033,1978-05-26,20,2001
8,E015,1978-05-26,15,1520
8,XE007,1978-05-26,18,1802
8,XG007,1978-05-26,13,1300
8,B032,1978-05-30,2,230
8,E016,1978-05-31,6,609
8,B051,1978-06-01,19,1927
8,C034,1978-06-01,2,200
8,D034,1978-06-02,1,107
8,B033,1978-06-02,20,2004
8,J010,1978-06-06,10,1002
8,D035,1978-06-07,1,107
8,N004,1978-06-08,6,602
8,E017,1978-06-14,15,1525
8,B034,1978-06-20,13,1300
8,I005,1978-06-22,13,1308
8,D036,1978-06-29,1,108
8,B036,1978-06-29,2,208
8,B035,1978-06-29,13,1300
8,K008,1978-07-04,14,1401
8,C036,1978-08-24,15,1522
8,D037,1978-09-01,1,107
8,G024,1978-09-01,13,1304
8,I006,1978-09-01,13,1308
8,B037,1978-09-08,7,705
8,I007,1978-09-08,3,325
8,N005,1978-09-08,6,600
8,XJ009,1978-09-08,10,1005
8,B038,1978-09-08,2,230
8,C037,1978-09-08,7,700
8,D038,1978-09-08,15,1500
8,D040,1978-09-08,1,105
8,E018,1978-09-08,1,105
8,I008,1978-09-08,3,331
8,J011,1978-09-08,10,1007
8,XB003,1978-09-08,12,1223
8,XD013,1978-09-08,18,1807
