lp,law_id,introduction_date,adoption_date,cap_topic,cap_subtopic
8,B001,1976-11-05,1977-07-05,2,230
8,C001,1976-11-05,1977-06-29,12,1299
8,XB001,1976-11-05,1977-07-05,2,230
8,XD001,1976-11-05,1977-06-11,1,107
8,XG001,1976-11-05,1977-06-11,5,504
8,D001,1976-12-09,1977-06-11,20,2001
8,XE001,1976-12-31,1977-10-20,18,1804
8,F001,1977-01-21,1977-11-19,4,499
8,I001,1977-01-21,1977-08-20,3,325
8,J001,1977-01-21,1977-12-01,10,1002
8,XG002,1977-01-21,1977-08-05,13,1300
8,XJ001,1977-01-21,1977-10-11,10,1002
8,K013,1977-02-02,1977-05-28,14,1406
8,N001,1977-02-03,1977-04-30,6,603
8,C006,1977-02-09,1977-08-20,12,1200
8,C007,1977-02-10,1979-07-24,12,1208
8,A001,1977-02-18,1978-02-28,19,1929
8,B002,1977-02-18,1978-07-31,15,1599
8,C009,1977-02-18,1977-12-30,12,1210
8,D003,1977-02-18,1977-07-28,1,105
8,F002,1977-02-18,1979-08-02,4,403
8,G001,1977-02-18,1977-06-30,16,1609
8,G002,1977-02-18,1977-06-30,13,1303
8,G003,1977-02-18,1977-06-30,3,301
8,K002,1977-02-18,1977-08-27,14,1400
8,N002,1977-02-18,1977-12-30,6,604
8,XA001,1977-02-18,1977-12-17,18,1802
8,XC001,1977-02-18,1977-12-10,10,1003
8,XC002,1977-02-18,1977-12-30,12,1210
8,XC003,1977-02-18,1978-03-31,12,1204
8,XE002,1977-02-18,1977-10-12,18,1802
8,XG003,1977-02-18,1977-08-06,13,1308
8,XG004,1977-02-18,1977-08-05,5,503
8,XG005,1977-02-18,1977-09-23,5,503
8,G005,1977-02-23,1977-07-16,16,1608
8,D004,1977-03-03,1977-07-14,14,1400
8,D005,1977-03-18,1977-12-30,14,1403
8,G007,1977-03-23,1979-08-17,5,501
8,D006,1977-03-25,1977-08-20,1,107
8,E001,1977-03-25,1977-11-30,1,105
8,F003,1977-03-25,1977-11-19,4,499
8,H001,1977-03-25,1977-12-30,16,1608
8,K003,1977-03-25,1978-08-02,14,1400
8,XC004,1977-03-25,1977-12-30,2,200
8,XE003,1977-03-25,1978-02-28,18,1804
8,B003,1977-03-30,1977-11-19,20,2004
8,XF001,1977-03-30,1977-12-23,4,401
8,B005,1977-04-01,1978-06-21,20,2012
8,B006,1977-04-01,1979-04-09,20,2004
8,XA002,1977-04-01,1977-08-11,20,2012
8,B008,1977-04-14,1980-05-14,20,2004
8,C010,1977-04-22,1978-03-03,12,1200
8,C011,1977-04-22,1979-05-10,15,1525
8,C012,1977-04-22,1977-12-30,12,1210
8,XD023,1977-04-22,1978-01-12,19,1906
8,B009,1977-05-18,1979-08-03,20,2004
8,C015,1977-06-03,1978-04-05,12,1204
8,H002,1977-06-03,1977-12-30,16,1608
8,K004,1977-06-03,1977-12-17,14,1400
8,XF002,1977-06-03,1978-01-27,4,406
8,G009,1977-06-22,1977-12-17,5,500
8,I003,1977-07-08,1980-05-13,3,325
8,B011,1977-09-02,1978-11-30,21,2101
8,C017,1977-09-02,1980-07-11,15,1500
8,D011,1977-09-02,1978-03-29,20,2001
8,D012,1977-09-02,1978-03-11,1,107
8,E004,1977-09-02,1980-08-20,21,2103
8,E005,1977-09-02,1977-12-24,8,800
8,E006,1977-09-02,1978-06-24,18,1806
8,F005,1977-09-02,1978-05-12,4,400
8,F006,1977-09-02,1978-06-24,4,405
8,G010,1977-09-02,1978-04-29,5,505
8,J003,1977-09-02,1978-06-10,10,1001
8,XC005,1977-09-02,1978-03-23,10,1007
8,XD002,1977-09-02,1978-02-25,1,107
8,XD003,1977-09-02,1978-01-27,1,107
8,XE004,1977-09-02,1978-05-18,18,1802
8,XJ002,1977-09-02,1978-02-25,10,1003
8,XJ003,1977-09-02,1978-02-25,10,1003
8,C018,1977-09-07,1978-10-10,12,1210
8,B012,1977-09-08,1978-06-03,12,1209
8,J004,1977-09-08,1978-08-09,10,1002
8,D013,1977-09-13,1977-11-08,1,107
8,B013,1977-09-16,1979-01-13,20,2004
8,D015,1977-09-16,1978-10-31,1,108
8,B014,1977-09-23,1977-12-30,16,1608
8,C071,1977-09-23,1978-09-16,2,208
8,E007,1977-09-23,1978-11-16,15,1500
8,N003,1977-09-23,1978-04-05,6,601
8,XE005,1977-09-23,1978-07-19,18,1802
8,XJ004,1977-09-23,1978-04-11,10,1003
8,C020,1977-09-28,1977-10-01,12,1205
8,XC006,1977-09-29,1978-03-31,19,1927
8,D019,1977-09-30,1978-02-25,1,105
8,B020,1977-10-14,1977-12-30,1,105
8,I004,1977-10-14,1980-08-08,3,321
8,J005,1977-10-14,1978-05-18,10,1007
8,XA003,1977-10-14,1978-07-22,19,1910
8,XC007,1977-10-14,1979-02-16,17,1707
8,XD004,1977-10-14,1978-07-14,1,107
8,B017,1977-11-04,1978-01-27,16,1608
8,E008,1977-11-04,1979-10-26,7,704
8,F007,1977-11-04,1978-08-19,4,400
8,XD005,1977-11-04,1978-06-13,18,1800
8,C068,1977-11-09,1978-04-12,16,1603
8,B018,1977-11-11,1978-06-30,20,2004
8,K005,1977-11-24,1980-02-26,14,1400
8,D022,1977-12-27,1978-09-30,1,107
8,G016,1978-01-04,1979-01-25,13,1399
8,B022,1978-01-06,1979-02-22,13,1300
8,B023,1978-01-06,1979-08-04,20,2001
8,B024,1978-01-06,1979-08-04,20,2001
8,C024,1978-01-06,1978-12-19,15,1500
8,C025,1978-01-06,1979-02-07,15,1522
8,D023,1978-01-06,1978-12-30,1,107
8,D025,1978-01-06,1979-08-17,1,107
8,E009,1978-01-06,1978-07-29,8,803
8,E010,1978-01-06,1978-08-16,1,105
8,G015,1978-01-06,1979-05-23,5,500
8,J008,1978-01-06,1978-08-09,17,1706
8,XC008,1978-01-06,1980-07-04,12,1200
8,XD006,1978-01-06,1978-07-28,1,107
8,XD007,1978-01-06,1978-07-28,1,107
8,XF003,1978-01-06,1978-09-08,4,401
8,XG006,1978-01-06,1978-07-14,13,1300
8,C027,1978-01-27,1978-04-18,19,1927
8,D026,1978-02-03,1979-05-23,1,107
8,E011,1978-02-03,1979-02-15,15,1526
8,XA004,1978-02-03,1978-12-30,19,1902
8,XB002,1978-02-03,1978-08-16,7,710
8,XC009,1978-02-03,1978-07-22,20,2015
8,XD008,1978-02-03,1978-07-28,1,107
8,XD009,1978-02-03,1979-02-16,12,1201
8,XJ005,1978-02-03,1978-09-22,10,1002
8,D027,1978-02-08,1978-07-31,1,107
8,K006,1978-02-08,1978-06-30,8,807
8,C028,1978-02-20,1978-07-31,12,1204
8,G020,1978-03-10,1978-07-25,13,1303
8,G021,1978-03-10,1978-08-11,13,1300
8,XD010,1978-03-10,1979-03-08,1,107
8,XD011,1978-03-10,1979-02-23,1,107
8,XE006,1978-03-10,1979-01-31,18,1804
8,XJ006,1978-03-10,1978-12-30,7,710
8,D030,1978-03-15,1979-11-29,1,107
8,G022,1978-03-31,1980-08-26,13,1300
8,XC010,1978-03-31,1979-06-16,12,1210
8,D031,1978-04-21,1978-07-18,15,1500
8,J009,1978-04-21,1979-07-13,10,1000
8,XA005,1978-04-21,1979-04-27,19,1913
8,XD012,1978-04-21,1979-02-23,1,107
8,C030,1978-05-12,1979-12-28,20,2004
8,C050,1978-05-12,1979-08-03,15,1522
8,D032,1978-05-12,1978-08-12,1,105
8,E014,1978-05-12,1979-06-30,6,609
8,XJ007,1978-05-12,1979-04-25,10,1003
8,XJ008,1978-05-12,1979-04-25,10,1003
8,D033,1978-05-26,1979-01-25,20,2001
8,E015,1978-05-26,1980-04-30,15,1520
8,XE007,1978-05-26,1979-06-27,18,1802
8,XG007,1978-05-26,1979-01-23,13,1300
8,B032,1978-05-30,1978-07-31,2,230
8,E016,1978-05-31,1978-12-19,6,609
8,B051,1978-06-01,1978-11-09,19,1927
8,C034,1978-06-01,1978-09-29,2,200
8,B033,1978-06-02,1979-03-24,20,2004
8,D035,1978-06-07,1979-12-29,1,107
8,N004,1978-06-08,1978-11-24,6,602
8,E017,1978-06-14,1978-09-16,15,1525
8,I005,1978-06-22,1979-07-27,13,1308
8,D037,1978-09-01,1978-12-02,1,107
8,G024,1978-09-01,1978-11-09,13,1304
8,I006,1978-09-01,1978-11-18,13,1308
8,B038,1978-09-08,1980-02-06,2,230
8,C037,1978-09-08,1980-04-03,7,700
8,D038,1978-09-08,1979-11-24,15,1500
8,D040,1978-09-08,1979-03-01,1,105
8,E018,1978-09-08,1979-08-11,1,105
8,I008,1978-09-08,1979-12-22,3,331
8,J011,1978-09-08,1979-06-30,10,1007
8,XB003,1978-09-08,1980-01-18,12,1223
8,XD013,1978-09-08,1979-05-29,18,1807
8,XD014,1978-09-08,1979-06-06,1,107
8,XD015,1978-09-08,1979-06-06,1,107
8,XD016,1978-09-08,1979-05-17,1,107
8,XD017,1978-09-08,1979-05-17,1,107
8,XE008,1978-09-08,1979-05-26,18,1804
8,XM001,1978-09-08,1979-06-09,17,1701
8,C039,1978-09-27,1979-03-31,12,1208
8,B039,1978-09-29,1980-03-20,20,2013
8,B040,1978-09-29,1980-03-20,20,2013
8,C026,1978-09-29,1979-02-07,12,1210
8,G026,1978-09-29,1979-07-17,10,1001
8,H003,1978-09-29,1979-07-20,16,1608
8,K009,1978-09-29,1979-07-13,14,1400
8,XD018,1978-09-29,1979-06-06,1,107
8,D042,1978-10-05,1978-12-30,1,108
8,I010,1978-10-20,1980-05-14,4,403
8,C041,1978-11-09,1980-07-11,10,1007
8,F008,1978-11-09,1980-04-03,4,405
8,N006,1978-11-09,1979-07-21,6,603
8,XD019,1978-11-09,1979-06-06,1,107
8,XG008,1978-11-09,1979-06-02,13,1300
8,XJ010,1978-11-09,1979-07-27,10,1003
8,XJ011,1978-11-09,1979-07-18,10,1002
8,XJ023,1978-11-09,1979-12-05,7,710
8,E019,1978-12-07,1980-08-22,21,2103
8,D047,1978-12-13,1979-04-26,1,108
8,B045,1979-01-05,1980-09-16,2,202
8,G028,1979-01-05,1979-07-28,5,502
8,G029,1979-01-05,1979-06-30,5,508
8,M001,1979-01-05,1980-01-11,16,1605
8,XC012,1979-01-05,1980-06-13,19,1906
8,XG009,1979-01-05,1979-07-21,5,503
8,XG010,1979-01-05,1980-05-03,5,501
8,XJ012,1979-01-05,1979-08-01,10,1002
8,XG011,1979-01-26,1979-08-31,13,1300
8,K011,1979-02-07,1979-07-28,14,1400
8,B046,1979-02-23,1979-07-27,20,2012
8,G030,1979-02-23,1980-07-16,13,1300
8,G031,1979-02-23,1980-03-21,15,1500
8,B047,1979-03-01,1980-08-28,8,801
8,B062,1979-03-14,1979-11-07,16,1609
8,C047,1979-03-14,1979-07-21,12,1210
8,D051,1979-03-15,1979-06-30,5,508
8,E020,1979-03-22,1980-02-06,8,803
8,B050,1979-03-29,1979-08-03,20,2004
8,B049,1979-03-30,1979-08-03,20,2004
8,C035,1979-03-30,1979-12-28,16,1603
8,J013,1979-03-30,1980-04-11,10,1002
